Choice,follower_count,following_count,listed_count,mentions_received,retweets_received,mentions_sent,retweets_sent,posts,network_feature_1,network_feature_2,network_feature_3
1,-480512,-260376,-5999,-74.63761037,-48.57557043,7.976994491,2.051519521,0.80872503,-304,84.22168127,106.2261279
0,39008,314,1609,37.04137219,8.666301274,2.417192149,0.222406257,-0.206346036,151,125.2806748,2357.598671
0,1052858,-14859,3596,893.4392135,207.019012,11.92127786,7.465139582,12.69187809,3297,-311.1397397,-16127.27308
1,-43408,3874,112,-116.9009042,-27.9762388,0,0,3.218141896,-373,58.19788168,1045.659652
1,-6136,-853,155,6.703204411,4.030034758,-0.266959198,0,1.724554401,23,-38.06,-3053.74
1,205336,2558,6563,-181.4560687,-64.02732324,0.370877881,0.194868821,1.731360514,-741,-27.43727951,-2310.956993
1,-461416,-331155,-857,-199.9470668,-136.1510739,0.473257188,0,0.468548279,-726,-14.63387978,-1940.560109
0,139995,125454,8695,870.0878757,345.0595545,4.397967261,0,33.86890975,2750,100.7347811,4745.018176
1,-9306697,-1211,-15103,-4259.164713,-644.5997245,5.164605319,0.712344348,9.49344729,-11945,142.8155088,1717.898829
1,-423289,-37901,-3994,181.8339649,67.00183955,1.48199878,1.476495416,0.766443632,717,-327.7245555,-12458.86792
1,-172669,-2115,-16261,-345.9664945,-85.21612691,-5.170187624,-1.237411868,-5.4215334,-1321,-267.6329827,-8989.714876
1,-77590,-605,-3664,-165.4939802,-89.04265305,-5.085763486,-2.316328012,-6.583401705,-682,-82.98695652,-3777.766667
1,-126515,-611,-4106,-171.4702284,-36.94495849,-4.310819305,-1.429719134,-4.102379226,-689,-49.04415954,-580.968661
0,4636460,-314,34921,-52.45430617,-98.50036337,-0.234262308,-0.234262308,-0.234262308,-16,-22.92764521,-4258.166043
0,-2050990,-20014,-8579,-3393.14697,311.2805843,2.770596212,1.51870413,5.402328642,-13339,8.817148643,881.245716
0,-410470,-38178,-2986,120.6648985,83.99959064,2.886601093,1.845389544,4.882088221,512,-313.445792,-10447.40877
0,2269682,2430,11759,6775.707973,2943.098567,8.472116048,1.458906402,62.43265489,21649,-72.34753224,-1733.591088
0,739561,10716,1277,94.33592637,96.49401291,0.205813836,0.95385468,0.637127181,426,9.191685912,870.0273287
0,9538263,1987,17730,4329.02066,664.1733036,7.276492611,1.737877362,1.021608177,12227,3.945138417,3014.65185
0,355989,85868,5242,131.1452877,23.17833377,7.281109145,0,7.305912874,566,188.5891608,7936.16958
1,27503,2923,325,24.5205467,3.744654955,0.785018626,0.787583025,0.785018626,104,100.3904762,28149.47619
0,4488945,399,29757,4498.869777,2206.248613,26.62979279,12.29115077,28.47365976,16641,-37.85227367,223.4207335
1,-142378,23822,977,44.30810287,-68.87642501,-0.534715302,-1.940007727,-1.609714619,-136,57.09605963,-4320.580583
1,-98693,-2234,-5607,-385.438412,-172.0829267,-8.004169459,-4.735257428,-10.42047569,-1329,-61.63973314,-2080.33358
1,-7052,-617,-109,-1.976046428,-0.614052982,-0.505186682,0.25643994,-1.000645404,-10,-13.27272727,-520.1818182
1,-335513,118225,-2921,-391.5773537,-276.8288768,-18.9552025,0,-14.43429972,-1587,8.907081418,405.2387416
1,-48432,-22805,-917,-61.63076071,-18.28485756,0,0,0,-228,-79.34334764,-4394.682403
1,-132080,-56564,-1778,-380.5199635,-13.51281511,-24.59040599,-0.241433113,-14.76322022,-798,-269.1167076,-12690.08518
0,97181,-25933,-434,-35.54520291,-7.381146777,-4.008207402,-0.239018782,-9.255517407,127,29.79378198,6989.540732
1,8962276,-730,10526,4039.380081,532.7393723,-7.656029714,-2.968799092,-5.148437992,11051,-70.79863642,-134.3704344
1,-43186,-861,-2566,-108.6177259,-5.540175509,23.73823691,-3.232988446,18.76914459,-404,-117.3770825,-1347.54182
0,35096,-241,2328,93.69453096,40.21959978,3.661603196,0.243871831,2.901765776,386,80.43589744,2084.617949
1,-468,-58,-22,-3.859746862,-0.178588164,-1.703239258,-0.259030243,-1.454415841,-17,-95.64705882,-2144.058824
0,-346019,-1135,-2792,-24.1894886,-4.100663478,-1.776943801,-0.505263358,-1.259576351,-90,-207.7553191,-4680.5
1,-1813719,795,-29967,-1639.983119,-367.1092253,-27.98388434,-6.707579363,-16.29378774,-6104,32.35260188,-734.3916336
0,219614,-564,1056,448.6034324,139.3889444,8.669092396,2.173557137,10.69474479,1788,-196.9630822,-12651.69233
0,1094439,-888,10571,68.92862562,19.57730973,-0.485599094,0,-0.485599094,270,-71.23454683,-1894.274554
0,5292,5454,393,6.582980268,2.281343967,1.671785425,0.241433113,0.724689584,26,85.82142857,1695.928571
0,276186,1732,1247,30.32689173,10.87598147,6.932943533,0.737438226,4.424223377,136,233.6555147,29169.40551
1,-105662,3175,-15,3.362019119,2.265039342,-3.51143629,-3.270003177,-9.49143356,14,-2.333333333,-490.3888889
1,-7160338,20842,-28718,-29145.47387,-18082.02678,0.983150853,0.983150853,-1.969652032,-88147,224.5103628,9291.5578
1,-126717,-586,-4115,-171.7190518,-37.19378191,-4.310819305,-1.429719134,-3.851042441,-690,-126.0441595,-3627.968661
1,37284,20894,-137,30.72290717,9.111161769,-12.60813661,-0.990922022,-16.89371533,103,-242.499172,-2091.309723
0,553227,-5538,5551,517.5729026,272.1503231,-9.791364832,-0.448070196,-0.355720078,2158,-24.07800727,204.8111665
0,266295,1349,6729,659.4520895,296.9898293,28.1574966,0.739178985,20.11948806,2371,-30.20401003,1291.908187
1,-93835,1631,-343,-77.3246825,-43.00040828,-6.004142658,-2.238629879,-11.25220537,-278,75.73569024,544.8148148
1,356041,1855,2787,24.46953145,4.367622676,2.043902999,0.505263358,1.526535549,91,257.2553191,7985
0,206798,15189,2511,7.519284265,4.037353347,-1.231004621,0,-2.730123443,63,319.1884058,17357.94928
0,512998,-1417,10397,2417.618425,981.1638903,13.82508146,0,32.87252056,8547,56.45356013,4643.077567
0,-110509,-55392,-1552,-297.7542814,12.008171,-20.21258532,0.76922235,-12.417227,-435,-252.6737368,-11455.8858
0,481406,38120,6554,42.59659532,4.429009433,1.437535771,0.470938467,0.939686861,159,383.1600213,13704.99362
1,-2745179,-6901,-22723,-349.2679447,-106.7707737,0.230889712,0.239018782,-1.559610667,-1357,-54.21822803,-3583.916485
1,-47072,154,-2516,-96.02526635,-26.91739956,-0.695759056,-0.231919685,0.258435882,-421,-222.1804598,-6710.601149
1,-625,-444,-37,-3.756458567,-0.609189703,-1.217069238,-0.734203012,-1.480824833,-14,-99.8,-1912.466667
0,-570,671,105,-109.7864358,-2.966911347,-3.679626222,-0.012695059,1.27228673,-220,25.4164916,-190.4101891
1,573868,668,4559,516.014504,301.5324946,3.256016542,1.008142729,11.97261239,2106,-205.8418004,-6258.73217
1,-120752,-13276,-10777,-262.6918704,-92.98017215,-10.88578308,-1.259701291,-11.06790119,-1041,-226.7641597,-6450.839917
1,-54199,-7154,-2596,-111.8697087,-22.47557751,-16.05723367,-1.750562033,-9.470171648,-429,-251.3014541,-7995.233221
0,192503,245,4439,704.0517343,308.7940437,5.251490065,3.759721242,13.25467268,2660,-39.64999937,-806.8348159
0,52884,1272,488,191.1327962,62.41887146,0,0,-1.521477529,598,-33.82343234,-1881.536304
0,4047035,-666,85941,-10980.68654,-3837.504223,-0.19271259,0,-1.196539721,-20938,27.33583751,651.0933491
0,766,-5614,-176,-11.16999464,-3.303490758,-3.963208648,0,-3.189747836,-42,-46.7672956,-2736.480084
0,175451,665,3719,143.51192,73.28840129,22.68705932,0,14.59565385,556,263.2237884,7517.884384
0,-52668,-737,-434,-190.4811801,-62.62444156,0.946514377,0.236628594,0.236628594,-595,139.5734323,-1382.463696
1,-126010,-47698,-8737,-112.0274365,-63.13381702,0.039611938,0.500210724,-2.669904048,-443,30.77630993,-25.122885
1,-101075,-13422,-10821,-255.3480365,-87.24380129,-8.85051913,-0.760822408,-6.502039778,-1013,-112.6661205,-652.5484734
1,839310,-2482,12777,68.57146311,34.53561646,-19.62773737,0.537790638,-24.89028726,291,-49.13934341,-2057.731618
1,-5160242,-31999,-15884,-173490.394,-52275.67125,12.14034992,-1.552396844,2.467976787,-213151,271.148313,6807.553421
1,3895,-356,-90,1.365239592,5.689610012,1.039970283,0.001232048,2.588646741,10,81.64565826,3317.358543
1,-853430,3345,-8223,-9655.666534,-4937.350446,10.82247861,1.220177676,-177.7943525,-27881,224.8231206,10941.08792
1,-22928,-2615,468,29.37978664,1.35397917,5.211891159,0,4.71863959,108,221.5585586,7309.072072
0,1345077,-4,15230,19121.062,14546.85776,1.697955477,0.480451895,15.91403994,52540,-76.0325523,-1243.736364
1,-54957,-320,-1049,-166.1163922,-95.15812517,-3.007987118,-1.514213467,-4.301415342,-637,19.52213132,-692.9175582
1,218929,-35461,-11826,2241.836143,939.1296673,7.076357593,-1.24457004,28.61315847,7854,-175.2178414,-2307.053588
0,90151,-2488,8164,3840.368356,1557.847967,-2.208525475,0,9.700642121,10205,-59.61092449,-8983.380114
1,-80871,6495,-2196,-38.76017017,-20.53341255,6.739612418,2.707385785,4.706672312,-198,-25.30499562,-2730.715308
0,590,921,6,3.843344981,0.51808665,4.669426306,0.769632768,2.606398678,8,210.625,14027.5
0,-3281253,466,-19066,-5648.15604,-3199.656063,0.705447759,0.520834738,-1.187813349,-20343,71.73359488,3119.946205
0,2794267,550190,3668,-2682.674643,-672.2084614,33.48851366,-1.671612179,19.19238062,-8762,21.5329644,1141.162748
0,121257,-5935,964,267.1040882,128.6073794,32.28104779,3.394839309,23.26547129,851,-102.5214368,1471.216686
1,-289,256,-34,-2.525553902,-0.4581138,-0.077905586,-0.276277189,-1.096205548,-9,-159.1,-2430.1
1,126030,1320,2184,-158.2024099,-158.0081297,-15.15502871,4.706676454,-12.80113332,-592,-71.82218723,-2208.896848
0,628852,-2558,7475,610.8437473,326.7589782,3.951775598,1.240062414,11.19596746,2519,30.83865939,1699.624535
0,754494,-275526,10258,1401.110459,566.3006798,2.706938423,0.75985352,8.928214966,4910,38.23042388,379.8834898
1,-638239,-71,-1491,-20677.30657,-5606.863948,-1.22558364,0,-33.58239869,-56194,32.55242459,148.4579866
0,5076,-78,320,6.213355635,1.092567854,0.502698958,0,0.502698958,27,87.23333333,1248.166667
1,-931,-731,-26,1.344670178,0,-1.033766166,0,-1.034172418,5,96.6,1414.2
0,-1094,-277,-103,-0.266959198,-0.266959198,0,0,0.243871831,-1,-9,-1096
1,42770,21230,654,22.33523306,14.71244801,-1.415449713,0,-1.181187404,113,16.35182222,1927.733251
0,125311,947,4072,55.0367626,23.34563628,2.150894938,0,6.863533265,239,217.2416667,6466.733333
1,-603028,140,-1009,-1035.046109,-171.9243337,1.448919071,0.455663875,-0.17896983,-2908,46.99810077,676.950995
0,-376392,-2425,12731,318.5748594,70.55855601,1.015434662,1.252630922,-0.197352709,1362,-1.99452975,-58615.05358
1,1668002,538177,-18419,-11789.07359,-4729.233643,19.55733003,-6.666224302,26.12228671,-20248,44.67204808,1157.007814
1,218866,6560,-12974,-88.02357428,38.67440975,0.658365742,-0.741953145,3.424446931,-350,-227.116772,-6264.322272
0,1349870,-7125,17460,852.3972845,556.6782445,-12.39391993,-1.286818272,-4.505032453,3586,-200.4076152,-5367.856182
0,-223352,620,-6158,-55.38836601,-11.49190697,0.9587092,0.236628594,-4.96039479,-207,-54.92523364,-7143.163551
0,-85465,30382,-10438,20.92786447,-16.5452663,-6.448288612,-0.234262308,-5.200965831,-170,-52.7911703,-989.1611409
0,9700,-269,270,25.86232499,20.6719673,1.633838737,0.241433113,1.68483453,91,-71.73012719,-4240.787758
1,-124828,835,-3956,-161.8721634,-36.23079062,5.989199642,2.569598271,4.535033147,-662,698.2317025,2859.962374
1,-1423144,-454,-40612,-1586.807899,-638.2800281,22.5728407,2.01001119,70.86838021,-8136,-45.6470589,-716.2676302
1,9115,-12,243,33.10159896,11.89173696,5.225416974,0.203719938,3.315882081,124,110.0852713,5969.116279
1,-24519,-1200,28,0.321367127,1.260137259,-0.253875541,-0.253875541,31.33882338,2,-1.333333333,-6261.5
1,8017560,1322,-23685,1020.098754,-733.3689665,-0.880139992,-4.71997501,-19.32956598,49,-41.57218997,1060.764516
1,-13131,-1495,-573,-25.59235794,-18.67506995,-1.001128924,-0.500210724,1.228001796,-126,-56.09474538,2838.787178
1,391826,150008,4026,169.2102722,50.73435306,8.719337708,-1.230044034,2.67099335,376,76.58661759,6845.732736
0,1627457,-5810,10167,740.1842101,36.39008028,-6.222384422,0.820424022,-7.794484524,2219,-38.62756533,-89.11842435
0,17822081,46329,90263,16366.18234,5727.504294,-0.73364696,-0.497646835,-0.469469975,60973,-24.87834217,-1381.905477
0,130179,3179,432,92.51527222,16.43798053,2.447544257,0,2.936184616,354,101.5730028,10333.73554
0,179492,-1830,3784,141.7199121,71.43184483,23.44868594,0,14.84417458,550,271.4965157,7506.121758
0,40921,-3119,2297,41.07922397,17.79785408,1.015655004,0,-0.249349556,171,107.1914894,1590.757683
1,824914,118499,-22354,-469.7913127,-201.4762789,-0.765207806,-0.264289606,-0.747253383,-1851,14.15396091,13744.68321
1,-3105788,-548405,-15380,-225.8870265,104.1179497,-31.58209206,4.496713736,-25.78547839,-1002,-29.5939753,-1416.13782
0,392643,9244,3351,258.1669807,124.3710371,7.114396327,0.239018782,10.64219032,972,41.01621074,3042.892604
1,-84787,118635,-3173,-979.6326919,-541.2029747,-9.410791393,-1.270704512,-15.60248924,-2842,107.9486652,4607.841773
1,1126265,12013,22087,9106.398949,4057.025181,13.93118362,4.994612123,-6.929906089,11486,-23.13908368,-15.84506618
0,100845,-1210,911,1729.153661,763.3617661,30.7294733,8.467863563,93.21106797,4066,12.31026948,1624.379704
1,-124508,-1396,-868,-46.89066883,-46.20536129,-22.75292688,0.231919685,-15.62081951,-137,-34.81605591,452.2349473
0,-109690,-153299,-354,-52.36913366,-6.086794142,2.931192296,1.716242755,21.07519272,206,-89.35002422,-9643.740527
0,38009,-6996,2662,26.17984692,12.53686346,-13.08045563,-1.496086128,-7.704923412,137,-160.6655193,-3930.727933
1,118281,910,3992,46.44583386,20.80400763,1.904559755,0,4.613984771,208,187.7577957,1699.443011
0,8982,308,176,-11.01198454,-12.05859803,-7.682649599,-3.597692129,-11.27778507,-12,-20.45627706,979.3636364
1,1369220,12358,37874,12093.79377,4477.686865,16.29887384,7.161683024,9.19329127,21336,20.65251058,1792.396158
0,274,157,16,-1.971016192,-0.725242163,-5.861835192,-3.824341281,-4.357527791,-8,-68,-1353.9
1,-1180729,-3050,-326,-43.43921377,-17.57173843,0.577988064,0.264616575,2.154828398,-127,61.61470588,-56311.03431
1,-116773,-372,-9881,-189.1777332,-67.20971968,-10.95289422,-2.466765809,-10.59182963,-789,-171.0420326,-4329.439774
0,4491148,404,29868,4499.694269,2206.471394,26.63215908,12.52777936,28.5031366,16645,-69.25227367,907.4207335
0,334114,-37318,6902,1649.21432,601.1240249,3.226631916,1.217636864,11.79008963,6267,6.012355497,741.986497
0,92253,238,5252,140.889795,34.93536772,3.68675943,0.495909018,2.941411623,576,96.88593482,4629.421955
0,5321249,32222,19487,173545.7824,52323.87592,5.699510725,0.541741381,8.308645744,213349,-13.09476818,-99.85326696
0,51309,42694,782,-23.88022657,-17.95184732,-0.756761859,-0.500210724,3.708645519,-110,-13.47223337,218.3904724
1,42705,-667,2216,42.96069498,5.475651392,-6.149970841,-0.009513428,-6.171554434,228,89.18536173,5203.683502
1,-181322,34492,9460,-135.2665948,-100.3030076,2.363137066,0.295665475,-0.446957876,-584,185.8052496,5613.974913
0,182194,90541,3001,481.7440768,75.66837431,-3.930639007,-0.760251749,-2.463217459,743,199.5248407,14796.146
1,-392424,-8966,-3343,-255.6121677,-123.9680786,-5.92499238,-0.263539037,-9.665288958,-964,-24.90509963,-2547.114826
1,-14135,-1532,-618,-87.60106765,-18.59868486,-21.67123705,0.284909011,-20.71551525,-318,-16.4921901,-2014.12097
0,1206050,-48935,6255,18983.53744,14468.28297,0.757062505,0.480451895,12.24567656,51980,-51.70985873,-1356.062393
0,2251831,310,22574,483.9523704,210.0178938,0.765207806,0.264289606,0.747253383,1895,38.48783014,3565.78558
0,7185479,-118,29171,29146.19815,18082.64309,0,0,4.401893055,88151,-200.9389342,-3273.510181
1,-49072,-41918,-1437,6.073452507,0.88243762,1.232394601,0.251336785,1.466656909,19,31.33333333,486.7380952
